,nyt_id,title,Amazon_url,author,publisher,description,published_date,bestseller_date,rank,rank_last_week,weeks_on_list,NYT_Price,Amazon_Price,Amazon_reviews,Amazon_rating,Amazon_Discount%
1009,5b4aa4ead3089013507dc31a,TIGER'S CLAW,http://www.amazon.com/Tigers-Claw-Novel-Dale-Brown-ebook/dp/B007BCFAVE?tag=NYTBS-20,Dale Brown,Morrow/HarperCollins,A retired Air Force general pushes back against a Chinese threat.,2012-09-23,2012-09-08,16,0,1,26.99,,,4.1,
1010,5b4aa4ead3089013507dc31f,A WANTED MAN,http://www.amazon.com/Wanted-bonus-short-story-Deep-ebook/dp/B007GCY8FS?tag=NYTBS-20,Lee Child,Delacorte,"A carload of people involved in a conspiracy pick up a disheveled hitchhiker, Child’s vigilante hero Jack Reacher.",2012-09-30,2012-09-15,1,0,1,28.0,9.99,7002.0,4.2,35.68
1011,5b4aa4ead3089013507dc322,DELUSION IN DEATH,http://www.amazon.com/Delusion-Death-In-Book-35/dp/0425250660?tag=NYTBS-20,J D Robb,Putnam,"Lt. Eve Dallas investigates a mass delusion at a bar her husband owns; by Nora Roberts, writing pseudonymously.",2012-09-30,2012-09-15,4,0,1,27.95,7.99,1283.0,4.6,28.59
1012,5b4aa4ead3089013507dc323,TELEGRAPH AVENUE,http://www.amazon.com/Telegraph-Avenue-Michael-Chabon-ebook/dp/B007HBH2EW?tag=NYTBS-20,Michael Chabon,Harper/HarperCollins,"Fathers and sons in Berkeley and Oakland, Calif.",2012-09-30,2012-09-15,5,0,1,27.99,7.99,458.0,3.4,28.55
1013,5b4aa4ead3089013507dc324,THIS IS HOW YOU LOSE HER,http://www.amazon.com/This-How-You-Lose-Her-ebook/dp/B0085DOG2W?tag=NYTBS-20,Junot Díaz,Riverhead,"Stories of love, loss and family history from a Pulitzer Prize-winning novelist.",2012-09-30,2012-09-15,6,0,1,26.95,10.99,911.0,4.0,40.78
1014,5b4aa4ead3089013507dc326,FROZEN HEAT,http://www.amazon.com/Frozen-Heat-Nikki-Richard-Castle/dp/0786891432?tag=NYTBS-20,Richard Castle,Hyperion,The N.Y.P.D. homicide detective Nikki Heat investigates the case of a woman whose body is found in a freezer.,2012-09-30,2012-09-15,8,0,1,26.99,7.99,1110.0,4.6,29.6
1015,5b4aa4ead3089013507dc328,ROBERT B. PARKER'S FOOL ME TWICE,http://www.amazon.com/Robert-Parkers-Twice-Jesse-Stone/dp/042526128X?tag=NYTBS-20,Michael Brandman,Putnam,"Jesse Stone, the chief of police in Paradise, Mass., deals with the arrest of a troubled movie star; a continuation of the series by Parker, who died in 2010.",2012-09-30,2012-09-15,10,0,1,25.95,9.92,534.0,4.1,38.23
1016,5b4aa4ead3089013507dc329,THE BLINDING KNIFE,http://www.amazon.com/Blinding-Knife-Lightbringer-Brent-Weeks/dp/031607991X?tag=NYTBS-20,Brent Weeks,Orbit,A fantasy sequel to “The Black Prism.”,2012-09-30,2012-09-15,11,0,1,25.99,9.99,728.0,4.7,38.44
1017,5b4aa4ead3089013507dc32e,A FISTFUL OF COLLARS,http://www.amazon.com/Fistful-Collars-Bernie-Mystery-Series/dp/1451665164?tag=NYTBS-20,Spencer Quinn,Atria,"Bernie and his loyal dog, Chet, must keep an eye on a badly behaved movie star; the fifth book in a series.",2012-09-30,2012-09-15,16,0,1,25.0,9.94,,4.6,39.76
1018,5b4aa4ead3089013507dc333,WINTER OF THE WORLD,http://www.amazon.com/Winter-World-Book-Century-Trilogy/dp/0451419243?tag=NYTBS-20,Ken Follett,Dutton,"In Book 2 of the Century trilogy, members of five interrelated families from five countries, some of them children of characters in the previous book, “Fall of Giants,” grapple with the tumultuous historical events of the years 1939-49.",2012-10-07,2012-09-22,1,0,1,36.0,7.99,7267.0,4.5,22.19
1019,5b4aa4ead3089013507dc337,LOW PRESSURE,http://www.amazon.com/Low-Pressure-Sandra-Brown/dp/1455501557?tag=NYTBS-20,Sandra Brown,Grand Central,A woman makes disturbing discoveries — and acquires a stalker — when she writes a book about her sister’s murder.,2012-10-07,2012-09-22,5,0,1,26.99,7.99,1178.0,4.4,29.6
1020,5b4aa4ead3089013507dc338,SEVERE CLEAR,http://www.amazon.com/Severe-Clear-Stone-Barrington-Stuart/dp/0451414373?tag=NYTBS-20,Stuart Woods,Putnam,"Stone Barrington travels to Bel-Air for the opening of a luxury hotel, where terrorists have targeted the president.",2012-10-07,2012-09-22,6,0,1,26.95,9.99,617.0,4.2,37.07
1021,5b4aa4ead3089013507dc33c,MIDST TOIL AND TRIBULATION,http://www.amazon.com/Midst-Tribulation-Safehold-David-Weber-ebook/dp/B007RMY4GA?tag=NYTBS-20,David Weber,Tor/Tom Doherty,"In Book 6 of the Safehold science fiction series, the republic of Siddamark descends into chaos.",2012-10-07,2012-09-22,10,0,1,27.99,8.99,452.0,4.1,32.12
1022,5b4aa4ead3089013507dc343,FALLEN MASTERS,http://www.amazon.com/Fallen-Masters-John-Edward/dp/076533271X?tag=NYTBS-20,John Edward,Tor,,2012-10-07,2012-09-22,17,0,0,0.0,20.89,,4.1,inf
1023,5b4aa4ead3089013507dc344,HISS AND HERS,http://www.amazon.com/Hiss-Hers-Agatha-Mystery-Mysteries/dp/0312616252?tag=NYTBS-20,M C Beaton,Minotaur,,2012-10-07,2012-09-22,18,0,0,0.0,13.99,186.0,4.4,inf
1024,5b4aa4ead3089013507dc347,THE CASUAL VACANCY,http://www.amazon.com/The-Casual-Vacancy-J-K-Rowling/dp/0316228532?tag=NYTBS-20,J K Rowling,"Little, Brown",The sudden death of a parish councilman reveals bitter social divisions in an idyllic English town; a novel for adults by the creator of Harry Potter.,2012-10-14,2012-09-29,1,0,1,35.0,11.99,5959.0,3.2,34.26
1025,5b4aa4ead3089013507dc350,RAPTURE,http://www.amazon.com/Rapture-Fallen-Angels-Book-4/dp/0451414799?tag=NYTBS-20,JR Ward,New American Library,"After a man stumbles in front of the reporter Mels Carmichael’s car, both find they’re in over their heads; a Fallen Angels novel.",2012-10-14,2012-09-29,10,0,1,27.95,5.99,2488.0,4.6,21.43
1026,5b4aa4ead3089013507dc357,SUTTON,http://www.amazon.com/Sutton-J-R-Moehringer/dp/1401323146?tag=NYTBS-20,J R Moehringer,Hyperion,,2012-10-14,2012-09-29,17,0,0,0.0,2.5,362.0,4.2,inf
1027,5b4aa4ead3089013507dc35c,MAD RIVER,http://www.amazon.com/Mad-River-Virgil-Flowers-Novel/dp/0399157700?tag=NYTBS-20,John Sandford,Putnam,Virgil Flowers joins the hunt for a teenage Bonnie and Clyde.,2012-10-21,2012-10-06,2,0,1,27.95,,1573.0,4.5,
1028,5b4aa4ead3089013507dc361,DARK STORM,http://www.amazon.com/Dark-Storm-Carpathian-Christine-Feehan/dp/0425255808?tag=NYTBS-20,Christine Feehan,Berkley,"In the 23rd book in the Dark series, the Carpathian Dax fights a vampire and meets his life mate.",2012-10-21,2012-10-06,7,0,1,26.95,4.99,749.0,4.4,18.52
1029,5b4aa4ead3089013507dc362,LIVE BY NIGHT,http://www.amazon.com/Live-Night-Novel-Dennis-Lehane-ebook/dp/B007HC3PUG?tag=NYTBS-20,Dennis Lehane,Morrow/HarperCollins,A South Boston punk becomes a Florida crime boss.,2012-10-21,2012-10-06,8,0,1,27.99,,2622.0,4.3,
1030,5b4aa4ead3089013507dc363,PHANTOM,http://www.amazon.com/Phantom-Harry-Novel-Jo-Nesbo-ebook/dp/B007QPFGJW?tag=NYTBS-20,Jo Nesbo,Knopf,The Oslo detective Harry Hole returns after three years away to find the social fabric in tatters.,2012-10-21,2012-10-06,9,0,1,25.95,9.99,779.0,4.2,38.5
1031,5b4aa4ead3089013507dc369,IN SUNLIGHT AND IN SHADOW,http://www.amazon.com/In-Sunlight-Shadow-Mark-Helprin/dp/0547819234?tag=NYTBS-20,Mark Helprin,Houghton Mifflin Harcourt,A nostalgic romance set in post-World War II New York.,2012-10-21,2012-10-06,15,0,1,28.0,15.7,353.0,3.8,56.07
1032,5b4aa4ead3089013507dc36a,THE ROUND HOUSE,http://www.amazon.com/The-Round-House-Louise-Erdrich-ebook/dp/B007HC3UF6?tag=NYTBS-20,Louise Erdrich,Harper/HarperCollins,"On an Ojibwe reservation in North Dakota in 1988, a 13-year-old boy and his father try to discover who is responsible for his mother’s devastating rape.",2012-10-21,2012-10-06,16,0,1,27.99,11.99,3137.0,4.3,42.84
1033,5b4aa4ead3089013507dc36e,REDOUBT,http://www.amazon.com/Redoubt-Collegium-Chronicles-Valdemar-Novel/dp/0756407451?tag=NYTBS-20,Mercedes Lackey,DAW,,2012-10-21,2012-10-06,20,0,0,0.0,14.61,,4.1,inf
1034,5b4aa4ead3089013507dc370,NYPD RED,http://www.amazon.com/NYPD-Red-James-Patterson-ebook/dp/B0089EHO7Q?tag=NYTBS-20,James Patterson and Marshall Karp,"Little, Brown",Detective Zach Jordan and his beautiful partner (and ex-girlfriend) must stop a deranged killer who has targeted a glittering New York film festival.,2012-10-28,2012-10-13,2,0,1,27.99,9.99,5422.0,4.4,35.69
1035,5b4aa4ead3089013507dc37b,INTO THE WOODS,http://www.amazon.com/Into-Woods-Hollows-Beyond-Collection/dp/0061974323?tag=NYTBS-20,Kim Harrison,Harper Voyager/HarperCollins Publishers,A collection including all of the Hollows stories along with new work.,2012-10-28,2012-10-13,13,0,1,24.99,24.64,247.0,4.5,98.6
1036,5b4aa4ead3089013507dc382,A THOUSAND MORNINGS,http://www.amazon.com/A-Thousand-Mornings-Mary-Oliver/dp/1594204772?tag=NYTBS-20,Mary Oliver,Penguin Press,,2012-10-28,2012-10-13,20,0,0,0.0,,253.0,4.6,
1037,5b4aa4ead3089013507dc383,THE PANTHER,http://www.amazon.com/The-Panther-John-Corey-Book/dp/0446699616?tag=NYTBS-20,Nelson DeMille,Grand Central,"Posted to Yemen, the anti-terrorist task force agent John Corey and his wife, an F.B.I. agent, pursue a high-ranking Qaeda operative — who is out to avenge the death of the Libyan terrorist Corey killed in New York.",2012-11-04,2012-10-20,1,0,1,27.99,,,,
1038,5b4aa4ead3089013507dc384,THE TWELVE,http://www.amazon.com/The-Twelve-Book-Passage-Trilogy-ebook/dp/B007GBTBMY?tag=NYTBS-20,Justin Cronin,Ballantine,A sequel to “The Passage” continues its story of life after an apocalypse.,2012-11-04,2012-10-20,2,0,1,28.0,,,4.3,
1039,5b4aa4ead3089013507dc386,THE BONE BED,http://www.amazon.com/The-Bone-Bed-Scarpetta-Novel/dp/0399157565?tag=NYTBS-20,Patricia Cornwell,Putnam,A paleontologist’s disappearance in Canada turns out to be connected to crimes much closer to home for the chief medical examiner Kay Scarpetta; the 20th Scarpetta book.,2012-11-04,2012-10-20,4,0,1,28.95,7.0,,3.9,24.18
1040,5b4aa4ead3089013507dc38a,THE SECRET KEEPER,http://www.amazon.com/The-Secret-Keeper-A-Novel-ebook/dp/B007EECSFA?tag=NYTBS-20,Kate Morton,Atria,A British actress searches for secrets in her 90-year-old mother’s past.,2012-11-04,2012-10-20,8,0,1,26.99,12.99,3560.0,4.5,48.13
1041,5b4aa4ead3089013507dc38f,SLEEP NO MORE,http://www.amazon.com/Sleep-No-More-Eve-Duncan-ebook/dp/B007TJ55YG?tag=NYTBS-20,Iris Johansen,St. Martin's,The forensic sculptor Eve Duncan investigates when her mother’s friend disappears from a mental hospital.,2012-11-04,2012-10-20,13,0,1,27.99,,525.0,,
1042,5b4aa4ead3089013507dc397,THE RACKETEER,http://www.amazon.com/The-Racketeer-Novel-John-Grisham/dp/0345545338?tag=NYTBS-20,John Grisham,Doubleday,"Malcolm Bannister, an imprisoned ex-lawyer, knows who murdered a federal judge. And he concocts a scheme to exchange this information for his freedom.",2012-11-11,2012-10-27,1,0,1,28.95,9.99,11081.0,4.2,34.51
1043,5b4aa4ead3089013507dc39a,BACK TO BLOOD,http://www.amazon.com/Back-Blood-Novel-Tom-Wolfe/dp/0316036315?tag=NYTBS-20,Tom Wolfe,"Little, Brown","A Cuban-American cop is a hero turned pariah in Miami, where ethnic and class tensions threaten to explode.",2012-11-11,2012-10-27,4,0,1,30.0,9.85,640.0,3.3,32.83
1044,5b4aa4ead3089013507dc39b,THE BRIDGE,http://www.amazon.com/The-Bridge-Novel-Karen-Kingsbury-ebook/dp/B007EDZ08S?tag=NYTBS-20,Karen Kingsbury,Howard Books,The destruction of a beloved bookstore offers the shop’s supporters second chances on love and leases.,2012-11-11,2012-10-27,5,0,1,19.99,11.99,1269.0,4.5,59.98
1045,5b4aa4ead3089013507dc39f,ANGELS AT THE TABLE,http://www.amazon.com/Angels-Table-Shirley-Goodness-Christmas-ebook/dp/B007WKE4TE?tag=NYTBS-20,Debbie Macomber,Ballantine,Angels cook up a plan to reunite a young couple.,2012-11-11,2012-10-27,9,0,1,18.0,5.99,640.0,4.5,33.28
1046,5b4aa4ead3089013507dc3a3,THE YELLOW BIRDS,http://www.amazon.com/The-Yellow-Birds-A-Novel/dp/0316219363?tag=NYTBS-20,Kevin Powers,"Little, Brown",A young soldier goes to battle in Iraq and has trouble adjusting once back home.,2012-11-11,2012-10-27,13,0,1,24.99,9.99,883.0,4.1,39.98
