,title,author,publisher,description,Amazon_url,times_listed,first_date_listed,last_date_listed,weeks_on_list,worst_rank,best_rank,Amazon_reviews,Amazon_rating,NYT_price,Amazon_price,Amazon_price_as%_NYT_price
1139,ROBERT B. PARKER'S IRONHORSE,Robert Knott,Putnam,,http://www.amazon.com/Robert-B-Parkers-Ironhorse-Knott/dp/0399158111?tag=NYTBS-20,1,2013-01-27,2013-01-27,0,18,18,384.0,4.0,0.0,6.62,inf
1140,ROBERT B. PARKER’S LULLABY,Ace Atkins,Putnam,"The Boston P.I. Spenser helps a street-smart girl investigate her mother’s murder; a continuation of the series by Parker, who died in 2010. ",http://www.amazon.com/Robert-B-Parkers-Lullaby-Spenser-ebook/dp/B0072O02EQ?tag=NYTBS-20,5,2012-05-20,2012-06-17,3,6,12,514.0,4.2,26.95,9.99,37.07
1141,ROBERT B. PARKER'S WONDERLAND,Ace Atkins,Putnam,"The P.I. Spenser uncovers a shady plan to build a sprawling casino north of Boston; a continuation of the series by Parker, who died in 2010.",http://www.amazon.com/Robert-B-Parkers-Wonderland-Spenser/dp/0399161570?tag=NYTBS-20,2,2013-05-26,2013-06-02,1,19,10,,,0.0,4.5,inf
1142,THE BOURNE DECEPTION,Eric Van Lustbader,Grand Central,Robert Ludlum’s character Jason Bourne helps to avert a possible world war.,http://www.amazon.com/Robert-Ludlums-Bourne-Deception-Jason-ebook/dp/B002AKPEGS?tag=NYTBS-20,6,2009-06-28,2009-08-02,4,7,19,429.0,,27.99,,
1143,THE BOURNE DOMINION,Eric Van Lustbader,Grand Central,Robert Ludlum's character Jason Bourne is searching for an elusive cadre of terrorists planning to destroy America's most strategic natural resources.,http://www.amazon.com/Robert-Ludlums-Bourne-Dominion-Jason-ebook/dp/B0048EKF3G?tag=NYTBS-20,2,2011-08-07,2011-08-14,2,9,12,565.0,3.9,27.99,9.99,35.69
1144,THE BOURNE IMPERATIVE,Eric Van Lustbader,Grand Central,Robert Ludlum’s character Jason Bourne must discover the identity of an amnesiac being pursued by the Mossad. ,http://www.amazon.com/Robert-Ludlums-Bourne-Imperative-Jason/dp/0446564478?tag=NYTBS-20,3,2012-06-24,2012-07-08,1,20,12,214.0,3.9,27.99,7.99,28.55
1145,THE BOURNE OBJECTIVE,Eric Van Lustbader,Grand Central,Robert Ludlum’s character Jason Bourne matches wits with a vicious Russian mercenary.,http://www.amazon.com/Robert-Ludlums-Bourne-Objective-Jason/dp/0446539791?tag=NYTBS-20,4,2010-06-20,2010-07-11,3,9,14,565.0,3.9,27.99,5.99,21.4
1146,ROBERT LUDLUM’S THE JANSON COMMAND,Paul Garrison,Grand Central,A former American operative builds a network to help him resolve crises without torture or civilian casualties.,http://www.amazon.com/Robert-Ludlums-Janson-Command-Paul-ebook/dp/B004RD858K?tag=NYTBS-20,3,2012-03-04,2012-03-18,1,20,15,,,27.99,,
1147,ROBERT B. PARKER'S BLIND SPOT,Reed Farrel Coleman,Putnam,"Jesse Stone confronts a murder and kidnapping in Paradise, Mass.; a continuation of the series by Parker, who died in 2010. ",http://www.amazon.com/Robert-Parkers-Blind-Jesse-Stone/dp/0399169458?tag=NYTBS-20,2,2014-09-28,2014-10-12,1,17,11,874.0,3.8,0.0,9.99,inf
1148,ROBERT B. PARKER'S CHEAP SHOT,Ace Atkins,Putnam,"The Boston P.I. Spenser searches for the kidnapped son of a star player for the New England Patriots; a continuation of the series by Parker, who died in 2010.",http://www.amazon.com/Robert-Parkers-Cheap-Shot-Spenser-ebook/dp/B00G3L11PI?tag=NYTBS-20,2,2014-05-25,2014-06-01,1,18,13,564.0,,0.0,,
1149,ROBERT B. PARKER’S DAMNED IF YOU DO,Michael Brandman,Putnam,"A continuation of Parker’s series featuring Jesse Stone, the chief of police in Paradise, Mass.  ",http://www.amazon.com/Robert-Parkers-Damned-Jesse-Stone-ebook/dp/B00C5R791Y?tag=NYTBS-20,2,2013-09-29,2013-10-06,2,6,15,541.0,4.1,0.0,9.99,inf
1150,ROBERT B. PARKER'S THE DEVIL WINS,Reed Farrel Coleman,Putnam,Jesse Stone is back on the case when three bodies are discovered in an abandoned factory.,http://www.amazon.com/Robert-Parkers-Devil-Jesse-Stone/dp/0399169466?tag=NYTBS-20,1,2015-09-27,2015-09-27,1,12,12,597.0,4.3,0.0,,
1151,ROBERT B. PARKER'S DEBT TO PAY,Reed Farrel Coleman,Putnam,"Jesse Stone pursues a psychotic assassin out for revenge; a continuation of the series by Parker, who died in 2010.",http://www.amazon.com/Robert-Parkers-Jesse-Stone-Novel/dp/0399171436?tag=NYTBS-20,1,2016-10-02,2016-10-02,1,13,13,549.0,3.8,0.0,9.99,inf
1152,ROBERT B. PARKER'S KICKBACK,Ace Atkins,Putnam,"Spenser defends a high school student wrongly accused of terrorism and sentenced to a brutal bootcamp; a continuation of the series by Parker, who died in 2010.",http://www.amazon.com/Robert-Parkers-Kickback-Spenser-Book-ebook/dp/B00O2BS3IO?tag=NYTBS-20,2,2015-06-07,2015-06-14,1,19,10,595.0,4.1,0.0,,
1153,ROBERT B. PARKER'S BULL RIVER,Robert Knott,Putnam,,http://www.amazon.com/Robert-Parkers-River-Hitch-Novel/dp/0399165266?tag=NYTBS-20,1,2014-01-26,2014-01-26,0,17,17,,,0.0,8.25,inf
1154,ROBERT B. PARKER'S SLOW BURN,Ace Atkins,Putnam,"Spenser is back, leaving a trail of antagonism as he investigates a series of suspicious Boston fires.",http://www.amazon.com/Robert-Parkers-Slow-Burn-Spenser/dp/0399170855?tag=NYTBS-20,1,2016-05-22,2016-05-22,0,17,17,488.0,,0.0,14.09,inf
1155,ROBERT B. PARKER'S FOOL ME TWICE,Michael Brandman,Putnam,"Jesse Stone, the chief of police in Paradise, Mass., deals with the arrest of a troubled movie star; a continuation of the series by Parker, who died in 2010.",http://www.amazon.com/Robert-Parkers-Twice-Jesse-Stone/dp/042526128X?tag=NYTBS-20,3,2012-09-30,2012-10-14,2,19,10,534.0,4.1,25.95,9.92,38.23
1156,ROBOPOCALYPSE,Daniel H Wilson,Doubleday,An artificial intelligence program takes on the persona of a human boy and sets off an apocalyptic robot uprising that could decimate the human race.,http://www.amazon.com/Robopocalypse-Novel-Daniel-H-Wilson-ebook/dp/B004CFAWS4?tag=NYTBS-20,2,2011-06-26,2011-07-03,1,20,13,810.0,3.9,25.0,0.0,0.0
1157,ROCK WITH WINGS,Anne Hillerman,Harper/HarperCollins,Husband-and-wife police officers Chee and Bernie have their hands full with a woman's disappearance and new threats to Navajo lands.,http://www.amazon.com/Rock-Wings-Leaphorn-Chee-Mysteries/dp/0062270516?tag=NYTBS-20,3,2015-05-24,2015-06-07,1,19,11,,4.3,0.0,15.11,inf
1158,ROGUE,Danielle Steel,Delacorte,"A divorced doctor on the verge of marriage to a kind new man faces a quandary when her exasperating ex-husband, a dot-com millionaire, wants her to work with him on a humanitarian project.",http://www.amazon.com/Rogue-Danielle-Steel/dp/0440243297?tag=NYTBS-20,3,2008-07-13,2008-07-27,3,8,13,192.0,4.3,27.0,7.99,29.59
1159,ROGUE LAWYER,John Grisham,Doubleday,The attorney Sebastian Rudd is a “lone gunman” who hates injustice and the system and defends unpopular clients.,http://www.amazon.com/Rogue-Lawyer-John-Grisham-ebook/dp/B00UEKRTW8?tag=NYTBS-20,20,2015-11-08,2016-03-20,9,9,1,9646.0,4.0,0.0,9.99,inf
1160,A ROGUE OF MY OWN,Johanna Lindsey,Simon & Schuster,A young lady’s first brush with intrigue at the court of Queen Victoria.,http://www.amazon.com/Rogue-My-Own-Johanna-Lindsey/dp/141659888X?tag=NYTBS-20,1,2009-07-05,2009-07-05,0,20,20,97.0,3.6,0.0,7.65,inf
1161,ROGUES,edited  George R R Martin and Gardner Dozois,Bantam,"Twenty-one original stories from well-known writers, including a new “Game of Thrones” story.",http://www.amazon.com/Rogues-George-R-R-Martin-ebook/dp/B00IWTTPOI?tag=NYTBS-20,1,2014-07-06,2014-07-06,1,7,7,,4.1,0.0,,
1162,ROOM,Emma Donoghue,"Little, Brown",The entire world of the 5-year-old boy who narrates this novel is the 11-by-11-foot room in which his mother is being held against her will.,http://www.amazon.com/Room-A-Novel-Emma-Donoghue/dp/0316098329?tag=NYTBS-20,23,2010-10-03,2011-04-03,9,9,10,5010.0,4.3,24.99,3.99,15.97
1163,ROSE HARBOR IN BLOOM,Debbie Macomber,Ballantine,The second book of the Inn at Rose Harbor series continues the story of Jo Marie Rose and her bed-and-breakfast in Cedar Cove.,http://www.amazon.com/Rose-Harbor-Bloom-A-Novel-ebook/dp/B00BH0VSN0?tag=NYTBS-20,2,2013-09-01,2013-09-08,2,3,14,1566.0,4.7,0.0,5.99,inf
1164,ROSES,Leila Meacham,Grand Central,Three generations in a small East Texas town.,http://www.amazon.com/Roses-Leila-Meacham/dp/0446549991?tag=NYTBS-20,6,2010-01-31,2010-03-07,5,9,10,703.0,4.5,24.99,9.12,36.49
1165,ROUGH COUNTRY,John Sandford,Putnam,Virgil Flowers investigates a string of murders at a Minnesota resort for women.,http://www.amazon.com/Rough-Country-Virgil-Flowers-Novel/dp/0399155988?tag=NYTBS-20,4,2009-10-18,2009-11-08,4,9,15,693.0,4.5,26.95,15.48,57.44
1166,ROUGH JUSTICE,Jack Higgins,Putnam,Violence and intrigue await an American agent in Kosovo.,http://www.amazon.com/Rough-Justice-Jack-Higgins/dp/0425228630?tag=NYTBS-20,2,2008-09-07,2008-09-14,2,15,14,75.0,4.3,25.95,9.99,38.5
1167,RULES OF BETRAYAL,Christopher Reich,Doubleday,,http://www.amazon.com/Rules-Betrayal-Christopher-Reich-ebook/dp/B0036S4EUU?tag=NYTBS-20,1,2010-08-01,2010-08-01,0,18,18,121.0,4.3,0.0,,
1168,RULES OF CIVILITY,Amor Towles,Viking,A chance encounter and its consequences provide a 25-year-old woman access to the New York social circle in the 1930s.,http://www.amazon.com/Rules-Civility-Novel-Amor-Towles-ebook/dp/B004IYJDVG?tag=NYTBS-20,4,2011-08-14,2011-09-11,2,17,13,2434.0,4.3,26.95,,
1169,RULES OF DECEPTION,Christopher Reich,Doubleday,The death of a surgeon’s wife draws him into a world of espionage and terrorism.,http://www.amazon.com/Rules-Deception-Christopher-Reich/dp/0307387828?tag=NYTBS-20,4,2008-08-03,2008-08-24,2,3,11,196.0,4.0,27.95,4.99,17.85
1170,RULES FOR A KNIGHT,Ethan Hawke,Knopf,Letters from the actor’s imagined medieval ancestor instruct his children on ethical behavior.,http://www.amazon.com/Rules-Knight-Ethan-Hawke/dp/0307962334?tag=NYTBS-20,2,2015-12-06,2015-12-13,2,15,12,286.0,4.8,0.0,10.99,inf
1171,RULES OF VENGEANCE,Christopher Reich,Doubleday,A doctor is drawn into a world of international espionage; a sequel to “Rules of Deception.”,http://www.amazon.com/Rules-Vengeance-Christopher-Reich-ebook/dp/B001NLKY2O?tag=NYTBS-20,2,2009-08-23,2009-08-30,1,16,11,126.0,4.2,25.95,,
1172,RUN FOR YOUR LIFE,James Patterson and Michael Ledwidge,"Little, Brown",A detective raising 10 children alone must stop a killer who has targeted New York’s rich and powerful.,http://www.amazon.com/Run-Your-Life-Michael-Bennett/dp/044656267X?tag=NYTBS-20,10,2009-02-22,2009-04-26,9,7,12,641.0,4.5,27.99,9.99,35.69
1173,RUNNING HOT,Jayne Ann Krentz,Putnam,"Two members of the Arcane Society, dedicated to paranormal research, encounter a group of criminal sensitives.",http://www.amazon.com/Running-Hot-Arcane-Society-Book/dp/039915521X?tag=NYTBS-20,3,2009-01-18,2009-02-01,2,8,12,140.0,4.4,25.95,8.99,34.64
1174,RUSHING WATERS,Danielle Steel,Delacorte,Six people cope with a hurricane in New York City.,http://www.amazon.com/Rushing-Waters-Novel-Danielle-Steel-ebook/dp/B0190HN0FU?tag=NYTBS-20,5,2016-09-18,2016-10-16,4,6,12,1008.0,4.4,0.0,8.99,inf
1175,S.,Doug Dorst,"Mulholland/Little, Brown","In a project conceived by the writer and director J. J. Abrams, the facsimile of a novel published in 1949 encodes a mystery.",http://www.amazon.com/S-J-Abrams/dp/0316201642?tag=NYTBS-20,11,2013-11-17,2014-03-09,9,9,10,594.0,4.4,0.0,21.99,inf
1176,SACRÉ BLEU,Christopher Moore,Morrow/HarperCollins,Vincent van Gogh’s friends in the 19th-century Parisian art world investigate his suicide.,http://www.amazon.com/Sacre-Bleu-A-Comedy-dArt-ebook/dp/B005UD1GQY?tag=NYTBS-20,5,2012-04-22,2012-05-20,5,9,10,,,26.99,,
1177,SAFE HAVEN,Nicholas Sparks,Grand Central,The arrival of a mysterious young woman in a small North Carolina town raises questions about her past.,http://www.amazon.com/Safe-Haven-Nicholas-Sparks/dp/044654759X?tag=NYTBS-20,17,2010-10-03,2011-03-06,9,8,1,7415.0,4.6,25.99,7.99,30.74
1178,SAIL,James Patterson and Howard Roughan,"Little, Brown",A sailing vacation turns into a disaster.,http://www.amazon.com/Sail-James-Patterson/dp/0446536105?tag=NYTBS-20,9,2008-06-29,2008-08-24,9,9,1,468.0,3.9,27.99,7.99,28.55
1179,SAINT ODD,Dean Koontz,Bantam,"The final adventure of Odd Thomas, a young fry cook with occult powers.",http://www.amazon.com/Saint-Odd-An-Thomas-Novel-ebook/dp/B00JI4ZSF6?tag=NYTBS-20,6,2015-02-01,2015-03-08,5,8,13,2876.0,4.6,0.0,9.99,inf
1180,SAINTS OF THE SHADOW BIBLE,Ian Rankin,"Little, Brown","The Edinburgh homicide detective John Rebus is back on the job and involved in two investigations, one old and one new.",http://www.amazon.com/Saints-Shadow-Bible-Inspector-Rebus/dp/0316224553?tag=NYTBS-20,2,2014-02-02,2014-02-09,1,17,14,,,0.0,11.06,inf
1181,SALVATION IN DEATH,J D Robb,Putnam,"Lt. Eve Dallas investigates the murder of a priest who was not who he seemed; by Nora Roberts, writing pseudonymously.",http://www.amazon.com/Salvation-Death-J-D-Robb/dp/0399155228?tag=NYTBS-20,3,2008-11-23,2008-12-07,3,8,15,342.0,4.6,25.95,7.99,30.79
1182,SANTA CLAWED,Rita Mae Brown & Sneaky Pie Brown,Bantam,"As the holidays approach, monks start turning up dead in Crozet, Va.; a Mrs. Murphy mystery.",http://www.amazon.com/Santa-Clawed-Mrs-Murphy-Mystery-ebook/dp/B001ANYES0?tag=NYTBS-20,1,2008-11-23,2008-11-23,0,17,17,121.0,4.2,0.0,,
1183,SANTA FE EDGE,Stuart Woods,Putnam,A puzzling murder in a golfer’s hacienda brings a new client for the take-no-prisoners Santa Fe lawyer Ed Eagle.,http://www.amazon.com/Santa-Fe-Edge-Eagle-Novel/dp/0399156917?tag=NYTBS-20,2,2010-10-10,2010-10-17,1,16,10,169.0,3.6,25.95,11.5,44.32
1184,SATURN RUN,John Sandford and Ctein,Putnam,Americans and Chinese compete to take control of what may be a spaceship approaching Saturn.,http://www.amazon.com/Saturn-Run-John-Sandford/dp/0399176950?tag=NYTBS-20,1,2015-10-25,2015-10-25,1,13,13,1511.0,3.9,0.0,9.99,inf
1185,SAVE THE DATE,Mary Kay Andrews,St. Martin's,"A wedding florist tries to shore up her career with Savannah's society event of the season. But she has competition, and other complications.",http://www.amazon.com/Save-Date-Mary-Kay-Andrews/dp/1250019699?tag=NYTBS-20,1,2014-06-22,2014-06-22,1,9,9,,4.5,0.0,7.25,inf
1186,SAVE ME,Lisa Scottoline,St. Martin's,A mother’s action during a school emergency causes an uproar in a Philadelphia suburb.,http://www.amazon.com/Save-Me-Lisa-Scottoline/dp/0312380798?tag=NYTBS-20,4,2011-05-01,2011-05-22,4,8,10,408.0,3.6,27.99,11.99,42.84
1187,SAY GOODBYE,Lisa Gardner,Bantam,An F.B.I. agent tracks a serial killer who uses spiders as a weapon.,http://www.amazon.com/Say-Goodbye-FBI-Profiler-Novel/dp/0553588095?tag=NYTBS-20,3,2008-08-03,2008-08-17,2,20,12,368.0,4.2,25.0,7.99,31.96
1188,SCANDALOUS BEHAVIOR,Stuart Woods,Putnam,Stone Barrington's  hopes for a restful stay in the English countryside meet complications.,http://www.amazon.com/Scandalous-Behavior-Stone-Barrington-Novel/dp/0399174680?tag=NYTBS-20,4,2016-01-31,2016-02-21,4,9,13,,4.1,0.0,6.73,inf
1189,SCARLET NIGHTS,Jude Deveraux,Atria,"In Edilean, Va., a woman’s engagement falls apart when she discovers that her fiancé’s mother is a notorious criminal.",http://www.amazon.com/Scarlet-Nights-Edilean-Novel-Novels/dp/1439107998?tag=NYTBS-20,1,2010-08-22,2010-08-22,1,15,15,137.0,4.4,25.99,7.19,27.66
1190,SCARPETTA,Patricia Cornwell,Putnam,"The forensic pathologist Kay Scarpetta, newly married, is splitting her time between Boston and New York, where she takes on a new assignment.",http://www.amazon.com/Scarpetta-Kay-Patricia-Cornwell/dp/B0040RMEXA?tag=NYTBS-20,11,2008-12-21,2009-03-01,9,6,1,1216.0,3.8,27.95,15.99,57.21
1191,BY SCHISM RENT ASUNDER,David Weber,Tor,,http://www.amazon.com/Schism-Rent-Asunder-David-Weber/dp/0765315017?tag=NYTBS-20,1,2008-08-10,2008-08-10,0,18,18,203.0,4.2,0.0,8.99,inf
1192,SEATING ARRANGEMENTS,Maggie Shipstead,Knopf,A WASP clan gathers for a wedding.,http://www.amazon.com/Seating-Arrangements-Maggie-Shipstead-ebook/dp/B006NKL8M0?tag=NYTBS-20,3,2012-07-01,2012-07-22,1,20,16,,,25.95,,
1193,SECOND HONEYMOON,James Patterson and Howard Roughan,"Little, Brown",The F.B.I. agent John O’Hara investigates the murder of a pair of newlyweds.,http://www.amazon.com/Second-Honeymoon-James-Patterson/dp/1455515965?tag=NYTBS-20,7,2013-07-14,2013-08-25,6,9,12,1858.0,4.3,0.0,9.99,inf
1194,THE SECOND LIFE OF NICK MASON,Steve Hamilton,Putnam,"A deal with a fellow inmate, a crime boss, springs Nick Mason from prison, but he must become an assassin.",http://www.amazon.com/Second-Life-Nick-Mason-Novel-ebook/dp/B014EOUONU?tag=NYTBS-20,2,2016-06-05,2016-06-12,1,18,15,397.0,3.8,0.0,11.99,inf
1195,SECOND WATCH,J A Jance,Morrow/HarperCollins,The investigator J. P. Beaumont has disturbing dreams about his early days on the Seattle P.D. and his time in Vietnam.,http://www.amazon.com/Second-Watch-J-Beaumont-Novel-ebook/dp/B009NG2DHA?tag=NYTBS-20,2,2013-09-29,2013-10-06,1,7,18,1347.0,4.6,0.0,9.49,inf
1196,SECONDHAND SOULS,Christopher Moore,Morrow/HarperCollins,"In a sequel to “A Dirty Job,” Charlie Asher, a Death Merchant, must stop souls in San Francisco from disappearing, even though he is trapped in a 14-inch body.",http://www.amazon.com/Secondhand-Souls-Novel-Christopher-Moore-ebook/dp/B00QFOG7MK?tag=NYTBS-20,2,2015-09-13,2015-09-20,1,7,18,,4.5,0.0,,
1197,A SECRET AFFAIR,Mary Balogh,Delacorte,The young widow of an elderly duke falls in love with Constantine Huxtable in the final entry of the Huxtable family series.,http://www.amazon.com/Secret-Affair-Huxtable-Quintet-Book/dp/0440245281?tag=NYTBS-20,1,2010-06-06,2010-06-06,1,10,10,188.0,4.3,24.0,7.99,33.29
1198,THE SECRET PLACE,Tana French,Viking,Detectives Stephen Moran and Antoinette Conway investigate a murder on the grounds of a girls’ school in the Dublin suburbs. ,http://www.amazon.com/Secret-Place-Dublin-Murder-Squad/dp/0670026328?tag=NYTBS-20,6,2014-09-21,2014-10-26,6,9,13,1717.0,3.7,0.0,12.99,inf
1199,THE SECRET SERVANT,Daniel Silva,Putnam,"Gabriel Allon, an art restorer and an occasional spy for the Israeli secret service, uncovers a Russian arms sales plot.",http://www.amazon.com/Secret-Servant-Gabriel-Allon-Novels/dp/0451224507?tag=NYTBS-20,7,2008-08-10,2008-09-21,6,7,1,828.0,4.7,26.95,9.99,37.07
1200,THE SECRET SOLDIER,Alex Berenson,Putnam,"When the king of Saudi Arabia is threatened, the former C.I.A. operative John Wells goes undercover to help.",http://www.amazon.com/Secret-Soldier-John-Wells-Novel/dp/0399157085?tag=NYTBS-20,3,2011-02-27,2011-03-13,2,9,19,192.0,4.4,25.95,10.62,40.92
1201,SECRETS OF EDEN,Chris Bohjalian,Shaye Areheart,"Murder, domestic abuse, spirituality and secrets in a small Vermont town.",http://www.amazon.com/Secrets-Eden-Novel-Chris-Bohjalian-ebook/dp/B002SXN7LQ?tag=NYTBS-20,3,2010-02-21,2010-03-07,2,6,12,220.0,3.8,25.0,11.99,47.96
1202,SECRETS TO THE GRAVE,Tami Hoag,Dutton,The cast of “Deeper Than the Dead” become involved in a new case of violence that disturbs their community.,http://www.amazon.com/Secrets-Grave-Tami-Hoag/dp/052595192X?tag=NYTBS-20,4,2011-01-16,2011-02-06,3,8,10,442.0,4.5,26.95,9.99,37.07
1203,SEDUCING AN ANGEL,Mary Balogh,Delacorte,"In Regency England, Stephen Huxtable falls for a would-be courtesan who has been accused of murder.",http://www.amazon.com/Seducing-Angel-Huxtable-Quintent-Balogh-ebook/dp/B001NLL97S?tag=NYTBS-20,2,2009-06-07,2009-06-14,1,18,10,95.0,4.3,23.0,6.99,30.39
1204,SEE ME,Nicholas Sparks,Grand Central,A couple in love are threatened by secrets from the past.,http://www.amazon.com/See-Me-Nicholas-Sparks/dp/1455520616?tag=NYTBS-20,20,2015-11-01,2016-03-13,9,8,1,4587.0,4.4,0.0,7.99,inf
1205,I SEE YOU EVERYWHERE,Julia Glass,Pantheon,Tracing the relationship between two very different sisters over the course of 25 years.,http://www.amazon.com/See-You-Everywhere-Julia-Glass/dp/1400075777?tag=NYTBS-20,1,2008-11-02,2008-11-02,0,20,20,96.0,3.1,0.0,5.23,inf
1206,A SERPENT'S TOOTH,Craig Johnson,Viking,The search for a boy’s mother leads to a heavily armed polygamist group; a Walt Longmire mystery.,http://www.amazon.com/Serpents-Tooth-Walt-Longmire-Mystery/dp/067002645X?tag=NYTBS-20,1,2013-06-23,2013-06-23,1,16,16,744.0,,0.0,10.52,inf
1207,SEVENEVES,Neal Stephenson,Morrow/HarperCollins,"Five thousand years after a small number of survivors of the moon’s explosion took refuge on an international space station, their descendants contemplate a return to Earth.",http://www.amazon.com/Seveneves-A-Novel-Neal-Stephenson-ebook/dp/B00LZWV8JO?tag=NYTBS-20,5,2015-06-07,2015-07-05,4,7,12,3662.0,4.0,0.0,11.99,inf
1208,SEVERE CLEAR,Stuart Woods,Putnam,"Stone Barrington travels to Bel-Air for the opening of a luxury hotel, where terrorists have targeted the president.",http://www.amazon.com/Severe-Clear-Stone-Barrington-Stuart/dp/0451414373?tag=NYTBS-20,3,2012-10-07,2012-10-21,2,6,13,617.0,4.2,26.95,9.99,37.07
1209,SEVERED SOULS,Terry Goodkind,Tor/Tom Doherty,"Book 14 of the Sword of Truth series returns to Richard Rahl, Kahlan Amnell, and their world.",http://www.amazon.com/Severed-Souls-Richard-Kahlan-Goodkind/dp/0765327740?tag=NYTBS-20,2,2014-08-24,2014-08-31,1,4,19,1158.0,4.1,0.0,20.34,inf
1210,SHADOW OF FREEDOM,David Weber,Baen,"Honor Harrington’s best friend, the admiral of the Star Empire of Manticore, wants to use her fleet to liberate other planets as well as defending her own. ",http://www.amazon.com/Shadow-Freedom-Honor-Harrington-Series/dp/1451638698?tag=NYTBS-20,1,2013-03-24,2013-03-24,1,11,11,451.0,3.9,25.0,6.99,27.96
1211,SHADOW OF NIGHT,Deborah Harkness,Viking,"An Oxford scholar/witch and a vampire geneticist pursue history, secrets and each other in Elizabethan London; Book 2 of the All Souls trilogy.",http://www.amazon.com/Shadow-Night-All-Souls-Trilogy/dp/0143123629?tag=NYTBS-20,8,2012-07-29,2012-09-16,8,9,1,3688.0,4.5,28.95,13.99,48.32
1212,THE SHADOW PATROL,Alex Berenson,Putnam,The former C.I.A. operative John Wells returns to Afghanistan to pursue a possible leak from the agency’s station in Kabul. ,http://www.amazon.com/Shadow-Patrol-John-Wells-Novel/dp/0399158294?tag=NYTBS-20,2,2012-03-11,2012-03-18,1,8,18,,4.4,26.95,8.99,33.36
1213,SHADOW PLAY,Iris Johansen,St. Martin's,"A forensic sculptor becomes overly invested in her latest assignment, flushing a killer along the way.",http://www.amazon.com/Shadow-Play-Eve-Duncan-Novel/dp/1250020107?tag=NYTBS-20,1,2015-10-18,2015-10-18,0,16,16,515.0,4.6,0.0,6.5,inf
1214,SHADOW OF POWER,Steve Martini,Morrow,The lawyer Paul Madriani searches for a missing letter from Thomas Jefferson that might explain a scholar’s murder.,http://www.amazon.com/Shadow-Power-Paul-Madriani-Novel/dp/B001OW5OR2?tag=NYTBS-20,3,2008-06-15,2008-06-29,2,20,11,153.0,3.8,26.95,7.49,27.79
1215,THE SHADOW QUEEN,Anne Bishop,Roc,,http://www.amazon.com/Shadow-Queen-Black-Jewels-Book/dp/0451462548?tag=NYTBS-20,1,2009-03-22,2009-03-22,0,20,20,145.0,4.6,0.0,12.14,inf
1216,77 SHADOW STREET,Dean Koontz,Bantam,"A 19th-century tycoon’s mansion has been turned into luxury apartments, but it remains in the grip of evil forces.",http://www.amazon.com/Shadow-Street-bonus-novella-Moonlit/dp/0553593064?tag=NYTBS-20,4,2012-01-15,2012-02-05,3,5,1,,,28.0,,
1217,SHADOW WOMAN,Linda Howard,Ballantine,A woman’s inexplicable strange memories and altered appearance result from a far-reaching conspiracy.,http://www.amazon.com/Shadow-Woman-Novel-Linda-Howard-ebook/dp/B007PFDGRC?tag=NYTBS-20,1,2013-01-20,2013-01-20,1,8,8,539.0,4.2,27.0,,
1218,THE SHADOW OF YOUR SMILE,Mary Higgins Clark,Simon & Schuster,"When a deceased nun becomes a candidate for beatification, a long-held family secret threatens to emerge and take the life of an unsuspecting heiress.",http://www.amazon.com/Shadow-Your-Smile-Higgins-Clark/dp/1439172269?tag=NYTBS-20,7,2010-05-02,2010-06-13,6,7,1,482.0,4.4,25.99,11.99,46.13
1219,SHADOW ZONE,Iris Johansen and Roy Johansen,St. Martin's Press,,http://www.amazon.com/Shadow-Zone-Iris-Johansen/dp/0312611633?tag=NYTBS-20,1,2010-08-08,2010-08-08,0,19,19,84.0,4.4,0.0,7.99,inf
1220,SHADOWFEVER,Karen Marie Moning,Delacorte,"Hunting for her sister’s murderer, MacKayla Lane is caught up in the struggle between humans and the Fae.",http://www.amazon.com/Shadowfever-Karen-Marie-Moning/dp/0385341679?tag=NYTBS-20,4,2011-02-06,2011-03-06,4,8,1,1207.0,4.7,26.0,7.99,30.73
1221,SHADOWS IN FLIGHT,Orson Scott Card,Tor/Tom Doherty,The latest entry in the “Ender” science fiction series; a sequel to “Shadow of the Giant.”,http://www.amazon.com/Shadows-Flight-The-Shadow-Series/dp/0765332000?tag=NYTBS-20,1,2012-02-05,2012-02-05,1,8,8,,,21.99,,
1222,SHADOWS OF SELF,Brandon Sanderson,Tor/Tom Doherty,"In a follow-up to “The Alloy of Law,” the Mistborn world is shaken by terrorism and assassination.",http://www.amazon.com/Shadows-Self-Mistborn-Brandon-Sanderson-ebook/dp/B00R697CGS?tag=NYTBS-20,1,2015-10-25,2015-10-25,1,8,8,783.0,,0.0,,
1223,SHALADOR’S LADY,Anne Bishop,Roc,The eighth Black Jewels epic fantasy.,http://www.amazon.com/Shaladors-Lady-Black-Jewels-Novel/dp/0451463153?tag=NYTBS-20,1,2010-03-21,2010-03-21,1,16,16,131.0,4.8,24.95,15.89,63.69
1224,SHANGHAI GIRLS,Lisa See,Random House,Two Chinese sisters in the 1930s are sold as wives to men from California.,http://www.amazon.com/Shanghai-Girls-Novel-Lisa-See/dp/0812980530?tag=NYTBS-20,11,2009-06-14,2009-08-23,9,9,12,1030.0,4.3,25.0,12.99,51.96
