,title,author,publisher,description,Amazon_url,times_listed,first_date_listed,last_date_listed,weeks_on_list,worst_rank,best_rank,Amazon_reviews,Amazon_rating,NYT_price,Amazon_price,Amazon_price_as%_NYT_price
576,THE FOREVER GIRL,Alexander McCall Smith,Pantheon,,http://www.amazon.com/Forever-Girl-Alexander-McCall-Smith/dp/0307908259?tag=NYTBS-20,1,2014-03-02,2014-03-02,0,20,20,261.0,3.2,0.0,9.99,inf
577,FOUNDATION,Mercedes Lackey,DAW,,http://www.amazon.com/Foundation-Collegium-Chronicles-Valdemar-Novel/dp/0756405246?tag=NYTBS-20,1,2008-10-26,2008-10-26,0,20,20,217.0,4.3,0.0,7.97,inf
578,FOUNDERS,James Wesley Rawles,Atria/Emily Bestler,"After society collapses, America’s fate is in the hands of the few who are qualified to return it to the state the founders intended.",http://www.amazon.com/Founders-A-Novel-Coming-Collapse/dp/143917282X?tag=NYTBS-20,1,2012-10-14,2012-10-14,1,11,11,,,25.99,,
579,FRACTURED,Karin Slaughter,Delacorte,An Atlanta detective pursue’s a teenage girl’s killer.,http://www.amazon.com/Fractured-Karin-Slaughter/dp/0385341954?tag=NYTBS-20,1,2008-08-17,2008-08-17,1,15,15,454.0,4.5,25.0,9.99,39.96
580,FRANKENSTEIN: LOST SOULS,Dean Koontz,Bantam,Book 4 in the reimagining of the classic tale.,http://www.amazon.com/Frankenstein-Lost-Souls-A-Novel-ebook/dp/B0036S4AE0?tag=NYTBS-20,3,2010-07-04,2010-07-18,2,9,18,385.0,,27.0,,
581,FREEDOM,Jonathan Franzen,"Farrar, Straus & Giroux","Franzen’s first novel since ""The Corrections"" (2001) is both an absorbing portrait of a dysfunctional Midwestern family and a telling snapshot of our troubled times.",http://www.amazon.com/Freedom-Jonathan-Franzen/dp/0312600844?tag=NYTBS-20,22,2010-09-19,2011-02-13,9,9,1,1469.0,3.4,28.0,9.99,35.68
582,FRICTION,Sandra Brown,Grand Central,A Texas Ranger fights for custody of his daughter amid complications stemming from his attraction to the judge.,http://www.amazon.com/Friction-Sandra-Brown-ebook/dp/B00US1STWW?tag=NYTBS-20,4,2015-09-06,2015-09-27,3,8,12,1795.0,4.5,0.0,8.99,inf
583,FRIENDS FOREVER,Danielle Steel,Delacorte,Three boys and two girls who meet in kindergarten maintain their bonds as they grow to adulthood.,http://www.amazon.com/Friends-Forever-Novel-Danielle-Steel-ebook/dp/B0062OCNX0?tag=NYTBS-20,7,2012-08-12,2012-09-23,6,9,10,1158.0,4.1,28.0,7.99,28.54
584,FROG MUSIC,Emma Donoghue,"Little, Brown","A murder mystery set in San Francisco in 1876, when the city is in the grip of a smallpox epidemic and a heat wave.",http://www.amazon.com/Frog-Music-Novel-Emma-Donoghue/dp/031632468X?tag=NYTBS-20,3,2014-04-20,2014-05-04,3,15,14,384.0,3.2,0.0,6.0,inf
585,SWINE NOT?,Jimmy Buffett,"Little, Brown","Following a deadly explosion at a vampire summit, the cocktail waitress Sookie Stackhouse faces danger.",http://www.amazon.com/From-Worse-Southern-Vampire-Mysteries/dp/0441015891?tag=NYTBS-20,9,2008-06-08,2009-03-01,6,8,11,685.0,4.4,24.95,7.99,32.02
586,FROST BURNED,Patricia Briggs,Ace,"The shape-shifter Mercy Thompson seeks assistance from an unlikely ally when her mate, the Alpha werewolf Adam Hauptman, and the rest of his pack are abducted.",http://www.amazon.com/Frost-Burned-Thompson-Patricia-Briggs/dp/044102002X?tag=NYTBS-20,4,2013-03-24,2013-04-14,3,9,1,1432.0,4.7,26.95,7.99,29.65
587,FROSTBITTEN,Kelley Armstrong,Bantam,The world’s only female werewolf and her mate track a rogue who’s hunting humans in the Alaskan forest.,http://www.amazon.com/Frostbitten-Otherworld-Kelley-Armstrong-ebook/dp/B002MUAFX8?tag=NYTBS-20,1,2009-10-18,2009-10-18,1,12,12,149.0,,26.0,,
588,FROZEN HEAT,Richard Castle,Hyperion,The New York homicide detective Nikki Heat investigates the case of a woman whose body is found in a freezer. ,http://www.amazon.com/Frozen-Heat-Nikki-Richard-Castle/dp/0786891432?tag=NYTBS-20,3,2012-09-30,2012-10-14,1,8,16,1110.0,4.6,26.99,7.99,29.6
589,FULL BLACK,Brad Thor,Atria,The covert counterterrorism operative Scot Harvath has a plan to stop a terrorist group that wants to take down the United States.,http://www.amazon.com/Full-Black-Thriller-Brad-Thor/dp/1451675240?tag=NYTBS-20,6,2011-08-14,2011-09-18,6,6,16,894.0,4.4,26.99,19.94,73.88
590,"FULL DARK, NO STARS",Stephen King,Scribner,Grisly human behavior and its consequences drive this collection of stories.,http://www.amazon.com/Full-Dark-Stars-Stephen-King/dp/1451650604?tag=NYTBS-20,9,2010-11-28,2011-01-23,8,7,12,1575.0,4.5,27.99,10.99,39.26
591,FUNNY GIRL,Nick Horn,Riverhead,A beauty queen who idolizes Lucille Ball moves to London and becomes the star of a hit BBC program in this novel about television in the 1960s.,http://www.amazon.com/Funny-Girl-Novel-Nick-Hornby/dp/1594205418?tag=NYTBS-20,2,2015-02-22,2015-03-01,2,9,14,431.0,3.5,0.0,9.99,inf
592,THE GAMES,James Patterson and Mark Sullivan,"Little, Brown","In Rio, clients of Jack Morgan, head of the Private international security firm, are disappearing and bodies are turning up in the streets.",http://www.amazon.com/Games-Private-James-Patterson/dp/0316407119?tag=NYTBS-20,6,2016-07-17,2016-08-21,5,7,11,987.0,4.5,0.0,9.99,inf
593,GARDEN OF LIES,Amanda Quick,Putnam,The head of a secretarial service in Victorian London teams up with a client to discover why an employee was murdered.,http://www.amazon.com/Garden-Lies-Amanda-Quick/dp/0399165150?tag=NYTBS-20,2,2015-05-10,2015-05-17,1,20,11,537.0,4.4,0.0,8.99,inf
594,GARMENT OF SHADOWS,Laurie R King,Bantam,"Mary Russell and her husband, Sherlock Holmes, are caught up in colonial wars in Morocco in the 12th book in this series.",http://www.amazon.com/Garment-Shadows-suspense-featuring-Sherlock-ebook/dp/B007JC2ELA?tag=NYTBS-20,1,2012-09-23,2012-09-23,1,9,9,358.0,4.3,26.0,,
595,A GATE AT THE STAIRS,Lorrie Moore,Knopf,A Midwestern college student takes a job as a nanny with a couple on the eve of adoption.,http://www.amazon.com/Gate-at-Stairs-Lorrie-Moore/dp/0375409289?tag=NYTBS-20,4,2009-09-20,2009-10-11,3,20,10,286.0,2.9,25.95,8.99,34.64
596,GATHERING PREY,John Sandford,Putnam,Lucas Davenport is on the trail of killers who have targeted a group of vagabonds called the Travelers.,http://www.amazon.com/Gathering-Prey-John-Sandford/dp/0399168796?tag=NYTBS-20,6,2015-05-17,2015-06-21,5,7,1,4104.0,4.6,0.0,9.99,inf
597,THE GATHERING STORM,Robert Jordan and Brandon Sanderson,Tor/TomDoherty,Book 12 of the Wheel of Time fantasy series.,http://www.amazon.com/Gathering-Storm-Wheel-Time-Book/dp/0765302306?tag=NYTBS-20,10,2009-11-15,2010-01-17,8,9,1,1207.0,4.7,29.99,9.99,33.31
598,GATOR A-GO-GO,Tim Dorsey,Morrow/HarperCollins,"Serge A. Storms, the vigilante serial killer, and his stoned sidekick do spring break in Florida.",http://www.amazon.com/Gator-A-Go-Go-Novel-Serge-Storms/dp/0061432717?tag=NYTBS-20,1,2010-02-14,2010-02-14,1,16,16,131.0,4.4,24.99,26.2,104.84
599,GAUNTLGRYM,R A Salvatore,Wizards of the Coast,A pair of drow and dwarf treasure seekers set off a catastrophe that could spell disaster for the city of Neverwinter.,http://www.amazon.com/Gauntlgrym-Neverwinter-Saga-Book-I/dp/0786955007?tag=NYTBS-20,2,2010-10-24,2010-10-31,1,19,13,411.0,4.4,27.95,7.99,28.59
600,GENTLEMAN JOLE AND THE RED QUEEN,Lois McMaster Bujold,Baen,,http://www.amazon.com/Gentleman-Jole-Queen-Vorkosigan-Saga/dp/1476781222?tag=NYTBS-20,1,2016-02-21,2016-02-21,0,18,18,750.0,3.7,0.0,4.09,inf
601,A GENTLEMAN IN MOSCOW,Amor Towles,Viking,A Russian count undergoes 30 years of house arrest.,http://www.amazon.com/Gentleman-Moscow-Novel-Amor-Towles/dp/0670026190?tag=NYTBS-20,63,2016-09-25,2018-05-13,9,9,10,9902.0,4.7,0.0,13.99,inf
602,GETTING TO HAPPY,Terry McMillan,Viking,"Revisiting the four women from “Waiting to Exhale.""",http://www.amazon.com/Getting-Happy-Terry-McMillan/dp/0451233344?tag=NYTBS-20,6,2010-09-26,2010-10-31,6,6,11,445.0,4.1,27.95,9.99,35.74
603,GHOST SHIP,Clive Cussler and Graham Brown,Putnam,"Kurt Austin, Joe Zavala and the rest of the NUMA crew investigate a sinister organization.",http://www.amazon.com/Ghost-Ship-The-Numa-Files/dp/0399167315?tag=NYTBS-20,4,2014-06-15,2014-07-06,3,2,11,146.0,4.7,0.0,9.98,inf
604,GHOST STORY,Jim Butcher,Roc,"Harry Dresden, the wizard detective in Chicago, has been murdered. But that doesn’t stop him when his friends are in danger.",http://www.amazon.com/Ghost-Story-Novel-Dresden-Files-ebook/dp/B004H4XI0Y?tag=NYTBS-20,6,2011-08-14,2011-09-18,5,9,1,1178.0,4.4,27.95,,
605,GHOSTMAN,Roger Hobbs,Knopf,,http://www.amazon.com/Ghostman-Roger-Hobbs/dp/0307959961?tag=NYTBS-20,1,2013-03-10,2013-03-10,0,20,20,470.0,4.1,0.0,10.92,inf
606,GHOSTS OF WAR,Brad Taylor,Dutton,,http://www.amazon.com/Ghosts-War-Pike-Logan-Thriller/dp/0525954929?tag=NYTBS-20,1,2016-07-17,2016-07-17,0,20,20,372.0,,0.0,13.99,inf
