,url,reviews,rating,price
8098,http://www.amazon.com/The-White-Queen-Cousins-War/dp/1476735484?tag=NYTBS-20,"1,494 customer reviews",4.3 out of 5 stars,$12.99 
8099,http://www.amazon.com/Juliet-Naked-novel-Nick-Hornby/dp/1594488878?tag=NYTBS-20,257 customer reviews,3.9 out of 5 stars,$11.99 
8100,http://www.amazon.com/The-Christmas-Sweater-Picture-Book/dp/1416995439?tag=NYTBS-20,116 customer reviews,4.6 out of 5 stars,$10.99 
8106,http://www.amazon.com/Girl-Played-Fire-Millennium-Trilogy/dp/0307476154?tag=NYTBS-20,"14,698 customer reviews",4.6 out of 5 stars,$9.99 
8107,http://www.amazon.com/Ford-County-Stories-Random-House/dp/0739377388?tag=NYTBS-20,"1,152 customer reviews",4.2 out of 5 stars,$7.99 
8108,http://www.amazon.com/The-Help-Kathryn-Stockett/dp/0425232204?tag=NYTBS-20,"10,093 customer reviews",4.7 out of 5 stars,$12.99 
8110,http://www.amazon.com/The-Lost-Symbol-Featuring-Langdon-ebook/dp/B002KQ6BT6?tag=NYTBS-20,"5,649 customer reviews",4.0 out of 5 stars,$9.99 
8111,http://www.amazon.com/Poor-Little-Bitch-Jackie-Collins/dp/B003RCJPCC?tag=NYTBS-20,204 customer reviews,4.1 out of 5 stars,$7.99 
8112,http://www.amazon.com/This-Body-Death-Inspector-Lynley/dp/0061160881?tag=NYTBS-20,408 customer reviews,3.9 out of 5 stars,$9.99 
8113,http://www.amazon.com/House-Rules-Novel-Jodi-Picoult/dp/0743296443?tag=NYTBS-20,"1,208 customer reviews",4.3 out of 5 stars,$8.99 
8114,http://www.amazon.com/61-Hours-Jack-Reacher-Novel/dp/0440243696?tag=NYTBS-20,"2,403 customer reviews",4.3 out of 5 stars,$9.99 
8115,http://www.amazon.com/The-Lion-Nelson-DeMille/dp/0446699608?tag=NYTBS-20,913 customer reviews,4.4 out of 5 stars,$9.99 
8118,http://www.amazon.com/Ice-Cold-Rizzoli-Isles-Novel/dp/0345515498?tag=NYTBS-20,"1,200 customer reviews",4.5 out of 5 stars,$4.99 
8119,http://www.amazon.com/The-Overton-Window-Glenn-Beck/dp/1451625286?tag=NYTBS-20,976 customer reviews,4.4 out of 5 stars,$8.99 
8121,http://www.amazon.com/Dead-Family-Sookie-Stackhouse-Novel/dp/0441020151?tag=NYTBS-20,"1,361 customer reviews",3.9 out of 5 stars,$7.99 
8122,http://www.amazon.com/Painted-Ladies-Spenser-Mysteries-No/dp/0399156852?tag=NYTBS-20,190 customer reviews,4.2 out of 5 stars,$9.99 
8123,http://www.amazon.com/I-Alex-Cross-James-Patterson-ebook/dp/B002LZSY46?tag=NYTBS-20,"1,753 customer reviews",4.4 out of 5 stars,$7.99 
8124,http://www.amazon.com/Hells-Corner-Camel-Club-Book-ebook/dp/B003UBTX7C?tag=NYTBS-20,"2,142 customer reviews",4.5 out of 5 stars,$9.99 
8125,http://www.amazon.com/Room-A-Novel-Emma-Donoghue/dp/0316098329?tag=NYTBS-20,"5,010 customer reviews",4.3 out of 5 stars,$3.99 
8129,http://www.amazon.com/Damage-John-Lescroart/dp/0525951768?tag=NYTBS-20,215 customer reviews,4.2 out of 5 stars,$9.99 
8130,http://www.amazon.com/Shadowfever-Karen-Marie-Moning/dp/0385341679?tag=NYTBS-20,"1,207 customer reviews",4.7 out of 5 stars,$7.99 
8131,http://www.amazon.com/Drawing-Conclusions-Commissario-Guido-Brunetti/dp/0802119794?tag=NYTBS-20,234 customer reviews,4.2 out of 5 stars,$9.32 
8132,http://www.amazon.com/Fifth-Witness-Lincoln-Lawyer-Novel/dp/044655667X?tag=NYTBS-20,"1,643 customer reviews",4.4 out of 5 stars,$9.99 
8133,http://www.amazon.com/Chasing-Fire-Nora-Roberts/dp/0515150630?tag=NYTBS-20,"5,199 customer reviews",4.6 out of 5 stars,$7.99 
